TIME,MOS,HOLD,QDC,QTC,ACTION
2,False,False,,,STILL
3,False,False,MEDIUM,-,WALK
4,False,False,MEDIUM,-,WALK
5,True,False,MEDIUM,-,WALK
6,True,False,MEDIUM,-,WALK
7,True,False,MEDIUM,0,WALK
8,True,False,MEDIUM,-,WALK
9,True,False,MEDIUM,-,WALK
10,True,False,MEDIUM,-,WALK
11,True,False,MEDIUM,-,WALK
12,True,False,MEDIUM,-,WALK
13,True,False,MEDIUM,-,WALK
14,True,False,NEAR,-,WALK
15,True,False,TOUCH,-,WALK
16,True,False,TOUCH,-,WALK
17,True,True,TOUCH,0,PICK
18,False,True,TOUCH,0,PICK
19,False,True,TOUCH,0,PICK
20,False,True,TOUCH,0,TRANSPORT
21,False,True,TOUCH,0,TRANSPORT
22,True,True,TOUCH,0,TRANSPORT
23,True,True,TOUCH,0,TRANSPORT
24,True,True,TOUCH,0,TRANSPORT
25,True,True,TOUCH,0,TRANSPORT
26,True,True,TOUCH,0,TRANSPORT
27,True,True,TOUCH,0,TRANSPORT
28,True,True,TOUCH,0,TRANSPORT
29,True,True,TOUCH,0,TRANSPORT
30,True,True,TOUCH,0,TRANSPORT
31,True,True,TOUCH,0,TRANSPORT
32,True,True,TOUCH,0,TRANSPORT
33,True,True,TOUCH,0,TRANSPORT
34,True,True,TOUCH,0,TRANSPORT
35,False,True,TOUCH,0,PLACE
