TIME,MOS,HOLD,QDC,QTC,ACTION
3,False,False,IGNORE,IGNORE,STILL
4,True,False,MEDIUM,-,WALK
5,True,False,MEDIUM,-,WALK
6,True,False,MEDIUM,-,WALK
7,True,False,MEDIUM,-,WALK
8,True,False,MEDIUM,0,WALK
9,True,False,MEDIUM,-,WALK
10,True,False,MEDIUM,-,WALK
11,True,False,MEDIUM,-,WALK
12,True,False,MEDIUM,-,WALK
13,True,False,MEDIUM,-,WALK
14,True,False,MEDIUM,-,WALK
15,True,False,NEAR,-,WALK
16,True,False,NEAR,-,WALK
17,True,False,TOUCH,-,WALK
18,False,False,TOUCH,0,PICK
19,False,False,TOUCH,0,PICK
20,False,False,TOUCH,0,PICK
21,True,True,TOUCH,0,TRANSPORT
22,True,True,TOUCH,0,TRANSPORT
23,True,True,TOUCH,0,TRANSPORT
24,True,True,TOUCH,0,TRANSPORT
25,True,True,TOUCH,0,TRANSPORT
26,True,True,TOUCH,0,TRANSPORT
27,True,True,TOUCH,0,TRANSPORT
28,True,True,TOUCH,0,TRANSPORT
29,True,True,TOUCH,0,TRANSPORT
30,True,True,TOUCH,0,TRANSPORT
31,True,True,TOUCH,0,TRANSPORT
32,True,True,TOUCH,0,TRANSPORT
33,True,True,TOUCH,0,TRANSPORT
34,True,True,TOUCH,0,TRANSPORT
35,True,True,TOUCH,0,TRANSPORT
36,False,True,TOUCH,0,PLACE
37,False,True,TOUCH,0,PLACE
38,False,False,TOUCH,0,PLACE
39,False,False,IGNORE,IGNORE,STILL
3,False,False,IGNORE,IGNORE,STILL
4,True,False,MEDIUM,-,WALK
5,True,False,MEDIUM,-,WALK
6,True,False,MEDIUM,-,WALK
7,True,False,MEDIUM,-,WALK
8,True,False,MEDIUM,-,WALK
9,True,False,NEAR,-,WALK
10,True,False,NEAR,-,WALK
11,True,False,TOUCH,0,WALK
12,False,False,TOUCH,0,PICK
13,False,False,TOUCH,0,PICK
14,False,False,TOUCH,0,PICK
15,True,True,TOUCH,0,TRANSPORT
16,True,True,TOUCH,0,TRANSPORT
17,True,True,TOUCH,0,TRANSPORT
18,True,True,TOUCH,0,TRANSPORT
19,True,True,TOUCH,0,TRANSPORT
20,True,True,TOUCH,0,TRANSPORT
21,True,True,TOUCH,0,TRANSPORT
22,True,True,TOUCH,0,TRANSPORT
23,True,True,TOUCH,0,TRANSPORT
24,True,True,TOUCH,0,TRANSPORT
25,True,True,TOUCH,0,TRANSPORT
26,True,True,TOUCH,0,TRANSPORT
27,True,True,TOUCH,0,TRANSPORT
28,True,True,TOUCH,0,TRANSPORT
29,True,True,TOUCH,0,TRANSPORT
3,False,False,IGNORE,IGNORE,STILL
4,True,False,MEDIUM,-,WALK
5,True,False,MEDIUM,-,WALK
6,True,False,MEDIUM,-,WALK
7,True,False,MEDIUM,-,WALK
8,True,False,MEDIUM,-,WALK
9,True,False,MEDIUM,-,WALK
10,True,False,MEDIUM,-,WALK
11,True,False,MEDIUM,-,WALK
12,True,False,MEDIUM,-,WALK
13,True,False,NEAR,-,WALK
14,True,False,NEAR,-,WALK
15,True,False,TOUCH,-,WALK
16,True,False,TOUCH,0,WALK
17,False,False,TOUCH,0,PICK
18,False,False,TOUCH,0,PICK
19,False,False,TOUCH,0,PICK
20,True,True,TOUCH,0,TRANSPORT
21,True,True,TOUCH,0,TRANSPORT
22,True,True,TOUCH,0,TRANSPORT
23,True,True,TOUCH,0,TRANSPORT
24,True,True,TOUCH,0,TRANSPORT
25,True,True,TOUCH,0,TRANSPORT
26,True,True,TOUCH,0,TRANSPORT
27,True,True,TOUCH,0,TRANSPORT
28,True,True,TOUCH,0,TRANSPORT
29,True,True,TOUCH,0,TRANSPORT
30,True,True,TOUCH,0,TRANSPORT
31,True,True,TOUCH,0,TRANSPORT
32,True,True,TOUCH,0,TRANSPORT
33,True,True,TOUCH,0,TRANSPORT
34,True,True,TOUCH,0,TRANSPORT
35,True,True,TOUCH,0,TRANSPORT
36,False,True,TOUCH,0,PLACE
37,False,True,TOUCH,0,PLACE
38,False,False,TOUCH,0,PLACE
39,False,False,IGNORE,IGNORE,STILL
3,False,False,IGNORE,IGNORE,STILL
4,True,False,MEDIUM,-,WALK
5,True,False,MEDIUM,-,WALK
6,True,False,MEDIUM,-,WALK
7,True,False,NEAR,-,WALK
8,True,False,TOUCH,0,WALK
9,False,False,TOUCH,0,PICK
10,False,False,TOUCH,0,PICK
11,False,False,TOUCH,0,PICK
12,True,True,TOUCH,0,TRANSPORT
13,True,True,TOUCH,0,TRANSPORT
14,True,True,TOUCH,0,TRANSPORT
15,True,True,TOUCH,0,TRANSPORT
16,True,True,TOUCH,0,TRANSPORT
17,True,True,TOUCH,0,TRANSPORT
18,True,True,TOUCH,0,TRANSPORT
19,True,True,TOUCH,0,TRANSPORT
20,True,True,TOUCH,0,TRANSPORT
21,True,True,TOUCH,0,TRANSPORT
22,True,True,TOUCH,0,TRANSPORT
23,True,True,TOUCH,0,TRANSPORT
24,True,True,TOUCH,0,TRANSPORT
25,True,True,TOUCH,0,TRANSPORT
26,True,True,TOUCH,0,TRANSPORT
27,True,True,TOUCH,0,TRANSPORT
28,True,True,TOUCH,0,TRANSPORT
29,False,True,TOUCH,0,PLACE
30,False,True,TOUCH,0,PLACE
31,False,False,TOUCH,0,PLACE
32,False,False,IGNORE,IGNORE,STILL
33,False,False,IGNORE,IGNORE,STILL
34,False,False,IGNORE,IGNORE,STILL
35,False,False,IGNORE,IGNORE,STILL
36,False,False,IGNORE,IGNORE,STILL
37,False,False,IGNORE,IGNORE,STILL
38,False,False,IGNORE,IGNORE,STILL
39,False,False,IGNORE,IGNORE,STILL
3,False,False,IGNORE,IGNORE,STILL
4,True,False,MEDIUM,-,WALK
5,True,False,MEDIUM,-,WALK
6,True,False,MEDIUM,-,WALK
7,True,False,MEDIUM,-,WALK
8,True,False,MEDIUM,-,WALK
9,True,False,NEAR,-,WALK
10,True,False,NEAR,-,WALK
11,True,False,TOUCH,0,WALK
12,False,False,TOUCH,0,PICK
13,False,False,TOUCH,0,PICK
14,False,False,TOUCH,0,PICK
15,True,True,TOUCH,0,TRANSPORT
